team1_id,team1_score,team2_id,team2_score,num_ot,team1_seed,team2_seed,strongseed,weakseed,team1_region,team2_region,host_lat,host_long,team1_lat,team1_long,team2_lat,team2_long,team1_pt_school_ncaa,team1_pt_overall_ncaa,team1_pt_school_s16,team1_pt_overall_s16,team1_pt_school_ff,team1_pt_overall_ff,team1_pt_career_school_wins,team1_pt_career_school_losses,team1_pt_career_overall_wins,team1_pt_career_overall_losses,team1_pt_team_season_wins,team1_pt_team_season_losses,team1_pt_coach_season_wins,team1_pt_coach_season_losses,team2_pt_school_ncaa,team2_pt_overall_ncaa,team2_pt_school_s16,team2_pt_overall_s16,team2_pt_school_ff,team2_pt_overall_ff,team2_pt_career_school_wins,team2_pt_career_school_losses,team2_pt_career_overall_wins,team2_pt_career_overall_losses,team2_pt_team_season_wins,team2_pt_team_season_losses,team2_pt_coach_season_wins,team2_pt_coach_season_losses,team1_fg2pct,team1_fg3pct,team1_ftpct,team1_blockpct,team1_oppfg2pct,team1_oppfg3pct,team1_oppftpct,team1_oppblockpct,team1_f3grate,team1_oppf3grate,team1_arate,team1_opparate,team1_stlrate,team1_oppstlrate,team2_fg2pct,team2_fg3pct,team2_ftpct,team2_blockpct,team2_oppfg2pct,team2_oppfg3pct,team2_oppftpct,team2_oppblockpct,team2_f3grate,team2_oppf3grate,team2_arate,team2_opparate,team2_stlrate,team2_oppstlrate,team1_tempo,team1_adjtempo,team1_oe,team1_adjoe,team1_de,team1_adjde,team2_tempo,team2_adjtempo,team2_oe,team2_adjoe,team2_de,team2_adjde,Outcome
1373,81,1108,77,0,16,16,16,16,W,W,39.7594,-84.1917,42.718586,-73.75153,31.877216,-91.142854,0,0,0,0,0,0,16,18,16,18,16,18,16,18,6,6,0,0,0,0,317,210,317,210,20,9,20,9,45.6127,34.626,74.4032,11.3308,42.6616,33.6399,69.6471,10.5144,35.3229,36.657,54.5135,57.8947,0.0778,0.102,48.9138,37.5556,64.2105,9.434,47.6981,34.1071,70.6505,6.4471,23.9744,29.7082,54.3253,56.8651,0.108,0.1049,68.8425,67.7359,98.693,98.6102,96.3688,99.6885,76.0664,73.8504,103.4213,99.8665,99.637,106.45,1
1104,86,1194,78,0,2,15,2,15,Y,Y,35.6017,-77.3725,33.2144,-87.545766,26.372536,-80.102293,0,2,0,0,0,0,81,49,149,73,26,7,26,7,0,0,0,0,0,0,28,63,28,63,19,11,19,11,50.6579,30.8677,73.5782,8.0468,45.2085,31.7841,68.2422,7.1637,33.945,32.7925,50.5495,46.988,0.1053,0.0881,45.0355,33.9114,66.7785,8.1871,48.538,34.3925,68.8172,9.9291,26.9051,30.8891,56.5968,56.3399,0.1282,0.1076,69.8636,69.9001,108.4361,111.4954,95.2313,93.877,71.2357,71.2446,100.2897,96.8669,98.4183,99.9263,1
1112,86,1364,81,0,3,14,3,14,Z,Z,35.1107,-106.61,32.232071,-110.950769,34.415462,-119.848071,17,22,8,10,4,5,467,144,656,239,22,9,22,9,0,0,0,0,0,0,62,52,62,52,20,10,20,10,50,37.6093,73.0769,7.2512,47.8576,34.7826,70.1258,8.4934,33.6275,31.9731,56.4706,54.8255,0.0835,0.0839,47.0414,40.8247,75.8117,8.7185,43.1723,32.0968,69.3679,6.7061,32.3549,39.4402,65.7778,58.5246,0.0868,0.0778,74.1462,72.8207,111.0077,117.3877,104.0411,96.9262,63.2345,64.7948,105.2163,105.4534,96.0965,97.6704,1
1181,84,1457,37,0,1,16,1,16,Y,Y,35.6017,-77.3725,36.00159,-78.94226,34.93851,-81.028663,17,17,12,12,9,9,562,167,635,226,29,3,29,3,3,3,0,0,0,0,79,41,79,41,19,11,19,11,57.4329,36.2651,68.9845,7.2251,46.2916,30.2703,68.8693,7.4692,37.5736,26.1916,57.1821,49.5516,0.1297,0.0919,47.642,30.5603,65.5914,11.6301,45.6625,30.4104,68.8372,9.8171,36.1794,33.817,49.037,51.8692,0.1108,0.0987,77.0734,75.1685,116.3726,118.5999,90.2544,87.7504,68.2128,67.4639,100.2384,95.3632,94.6587,99.9754,1
1231,75,1428,56,0,5,12,5,12,Y,Y,38.5556,-121.4689,39.166383,-86.526904,40.762484,-111.846044,1,1,0,0,0,0,41,24,41,24,20,11,20,11,8,9,4,4,1,1,283,81,382,133,21,8,21,8,48.3696,40,69.4561,12.5086,42.8866,35.5839,66.4013,10.0155,33.0213,27.359,58.4949,48.2295,0.1045,0.1075,50.306,40.4719,67.9443,7.3961,49.1388,31.8302,70.6406,7.3439,40.2778,27.6393,63.7224,51.5702,0.0922,0.0927,65.7442,66.5739,105.3974,109.6136,94.4987,89.9224,62.6181,63.3547,107.7123,108.6231,97.4318,95.6459,1
1242,70,1221,59,0,1,16,1,16,X,X,38.6272,-90.1978,38.957351,-95.24587,41.699982,-86.253668,12,12,7,7,2,2,384,92,384,92,29,3,29,3,1,3,0,1,0,0,50,40,194,164,18,14,18,14,52.5627,41.0959,71.9128,12.2449,41.8677,36.4754,68.1621,9.1058,21.791,31.1622,61.3288,52.5424,0.1159,0.1094,42.9583,33.79,69.153,9.3551,43.6876,38.3895,65.604,9.6774,25.629,32.6606,63.1124,64.4315,0.1217,0.1047,79.0371,79.1217,114.5438,115.0406,94.4261,90.5399,64.2138,63.7588,98.0754,96.6995,92.2897,96.6499,1
1245,69,1329,61,0,10,7,7,10,Y,Y,35.6017,-77.3725,41.146856,-81.342253,36.123085,-97.069743,0,0,0,0,0,0,27,5,27,5,27,5,27,5,9,22,4,10,1,2,272,113,704,278,23,8,23,8,50.7947,36.5812,73.1034,5.4849,46.1844,32.4717,68.9051,5.5978,28.7894,32.9782,48.4721,50.6394,0.0974,0.0717,49.3718,32.7451,64.4068,8.641,45.1689,30.742,68.231,8.8692,27.3752,30.7776,55.0898,51.0013,0.1124,0.0997,65.4145,66.1658,115.7547,113.6686,96.7084,96.201,68.8801,67.3849,103.9347,104.227,92.8097,91.8988,1
1246,83,1434,68,0,4,13,4,13,W,W,38.6272,-90.1978,38.028081,-84.510698,41.463176,-87.045853,4,8,3,6,1,1,130,42,254,104,20,9,20,9,5,5,1,1,0,0,235,184,235,184,25,7,25,7,50.9105,31.5089,67.6948,12.3344,45.1159,33.6538,67.9117,7.8385,34.8633,34.0611,51.1682,52.8477,0.1055,0.0987,51.0804,35.0133,67.3973,10.741,45.2956,35.5155,65.8163,6.3094,39.4558,33.7196,63.9766,66.8857,0.1415,0.0957,70.2659,69.3445,105.2773,109.8256,94.9881,91.1143,69.9092,70.2168,110.5689,109.2741,94.0668,96.7884,1
1281,93,1274,80,0,12,5,5,12,Z,Z,35.1107,-106.61,38.626527,-90.336949,25.720406,-80.27645,2,2,0,0,0,0,59,37,59,37,21,11,21,11,0,3,0,0,0,0,40,20,225,165,24,7,24,7,49.6829,39.0887,68.9704,9.7222,47.4747,36.414,66.8831,7.8224,37.0173,25.4588,52.2793,54.8999,0.1029,0.101,47.7441,34.5029,77.1386,15.6766,45.0495,30.9064,67.4847,9.9262,35.9432,35.7029,64.1809,53.183,0.1241,0.1028,70.7578,70.5889,112.716,112.3241,101.992,99.0919,70.5375,70.2876,104.5566,108.2862,93.077,93.5169,1
1323,82,1150,63,0,8,9,8,9,Y,Y,35.6017,-77.3725,41.616717,-86.289848,35.306834,-80.73579,1,3,0,0,0,0,41,20,140,72,21,10,21,10,2,2,0,0,0,0,80,49,80,49,18,11,18,11,49.037,37.8641,71.194,10.9142,42.6648,33.6538,67.5325,8.6667,31.4024,30.6634,67.0759,56.5271,0.1099,0.1016,48.7666,36.5385,70.7792,6.1591,45.1668,34.4887,69.0598,7.4004,39.0751,33.047,54.6649,53.2325,0.0987,0.085,70.3693,70.1299,109,113.8693,95.8235,97.3342,68.4682,68.4936,107.2881,111.8788,99.058,97.3901,1
