TeamName,Season,TeamID,FirstD1Season,LastD1Season,Seed,rank,team,conference,adj_em,luck,luck_rank,sos_adj_em,sos_adj_em_rank,sos_adj_o,sos_adj_o_rank,sos_adj_d,sos_adj_d_rank,nc_sos_adj_em,nc_sos_adj_em_rank,ncaa_seed
Air Force,2004,1102,1985,2019,W11,36,Air Force,MWC,15.42,0.025,101,0.58,143,103.3,170,102.8,138,-10.49,318,11
Air Force,2006,1102,1985,2019,Z13,40,Air Force,MWC,14.87,-0.001,172,0.57,147,102.8,176,102.2,137,-6.63,300,13
Akron,2009,1103,1985,2019,X13,95,Akron,MAC,6.9,-0.014,204,-1.6,192,100.9,246,102.5,147,-1.83,205,13
Akron,2011,1103,1985,2019,Z15,118,Akron,MAC,4.09,0.043,74,-1.7,187,102.5,201,104.2,188,-0.43,169,15
Akron,2013,1103,1985,2019,X12,62,Akron,MAC,11.52,0.085,17,-0.35,147,102.4,157,102.7,150,0.28,147,12
Alabama,2002,1104,1985,2019,Y02,22,Alabama,SEC,18.73,0.076,21,8.59,29,107.4,46,98.8,15,-1.56,206,2
Alabama,2003,1104,1985,2019,Y10,38,Alabama,SEC,14.6,-0.015,205,9.55,16,106.6,32,97.1,11,2.31,102,10
Alabama,2004,1104,1985,2019,X08,29,Alabama,SEC,16.5,0.004,161,11.2,8,109.1,12,97.9,7,6.59,29,8
Alabama,2005,1104,1985,2019,X05,18,Alabama,SEC,20.51,0.033,92,6.84,45,106.5,57,99.6,40,-1.28,198,5
Alabama,2006,1104,1985,2019,X10,60,Alabama,SEC,12.48,0.005,153,9.21,14,107.7,25,98.4,17,1.6,115,10
Alabama,2012,1104,1985,2019,X09,27,Alabama,SEC,16.69,-0.067,314,7.07,35,107.4,18,100.3,57,3.98,62,9
Alabama,2018,1104,1985,2019,W09,57,Alabama,SEC,13.41,0.017,130,11.17,8,110.9,19,99.7,7,2.54,84,9
Alabama A&M,2005,1105,2000,2019,Z16a,278,Alabama A&M,SWAC,-12.49,-0.023,224,-14.52,328,92.4,327,106.9,308,1.14,128,16
Alabama St,2004,1106,1985,2019,W16,266,Alabama St.,SWAC,-10.72,0.023,108,-12.06,320,94.6,320,106.7,292,0.53,148,16
Alabama St,2009,1106,1985,2019,Y16a,200,Alabama St.,SWAC,-2.97,0.025,104,-11.71,340,95.4,339,107.2,333,9.21,20,16
Alabama St,2011,1106,1985,2019,W16a,303,Alabama St.,SWAC,-13.19,0.032,100,-11.26,338,94.9,341,106.1,298,6.29,31,16
Albany NY,2006,1107,2000,2019,Z16,138,Albany,AE,2.63,0.027,99,-5.65,265,99.6,277,105.3,245,0.12,151,16
Albany NY,2007,1107,2000,2019,X13,138,Albany,AE,2.25,0.109,6,-3.47,206,102.4,217,105.9,207,0.94,131,13
Albany NY,2013,1107,2000,2019,Y15,150,Albany,AE,1.36,0.082,18,-5.19,275,98.6,318,103.8,210,-6.61,319,15
Albany NY,2014,1107,2000,2019,X16a,181,Albany,AE,-1.04,0.002,181,-5.12,270,101.5,311,106.6,224,0.91,135,16
Albany NY,2015,1107,2000,2019,W14,131,Albany,AE,3.29,0.054,56,-5.5,297,100.4,325,105.9,229,0.18,154,14
Alcorn St,2002,1108,1985,2019,W16a,252,Alcorn St.,SWAC,-8.71,0.097,8,-14.53,325,95.3,325,109.8,325,2.6,101,16
American Univ,2008,1110,1985,2019,W15,150,American,Pat,1.67,0.045,66,-4.23,240,99.9,295,104.1,173,-2.17,216,15
American Univ,2009,1110,1985,2019,W14,112,American,Pat,4.7,0.093,8,-6.34,295,97.6,317,104,204,0.55,141,14
American Univ,2014,1110,1985,2019,Z15,120,American,Pat,4.57,0.007,165,-2.59,208,103.6,218,106.2,210,-0.1,163,15
Arizona,2002,1112,1985,2019,Z03,13,Arizona,P10,20.54,0.079,15,14.22,1,111.5,1,97.3,3,17.56,1,3
Arizona,2003,1112,1985,2019,Z01,4,Arizona,P10,26.8,-0.007,181,8.69,31,107.2,14,98.5,53,8.19,26,1
Arizona,2004,1112,1985,2019,W09,32,Arizona,P10,16.18,-0.072,296,5.72,63,106.7,55,101,80,4.6,53,9
Arizona,2005,1112,1985,2019,X03,13,Arizona,P10,22.22,0.027,104,8.12,30,107.8,22,99.7,44,3.33,79,3
Arizona,2006,1112,1985,2019,Y08,23,Arizona,P10,17.23,-0.037,256,10.53,4,108,18,97.5,2,9.27,16,8
Arizona,2007,1112,1985,2019,Y08,24,Arizona,P10,19.43,-0.009,203,12.2,2,110.4,8,98.2,2,10.23,14,8
Arizona,2008,1112,1985,2019,Z10,23,Arizona,P10,19.14,-0.079,326,12.72,1,110.3,1,97.6,1,8.75,12,10
Arizona,2009,1112,1985,2019,Y12,37,Arizona,P10,15.96,0.018,119,11.33,6,109,10,97.7,8,2.34,100,12
Arizona,2011,1112,1985,2019,X05,20,Arizona,P10,19.65,0.064,32,7.69,34,107.7,30,100,41,-0.36,166,5
Arizona,2013,1112,1985,2019,Z06,14,Arizona,P12,21.88,-0.012,214,7.99,24,106.4,29,98.5,27,1.45,116,6
Arizona,2014,1112,1985,2019,Z01,2,Arizona,P12,30.11,0.014,151,9.3,17,109.9,20,100.6,18,1.62,113,1
Arizona,2015,1112,1985,2019,Z02,4,Arizona,P12,32.36,-0.033,258,7.37,45,108.3,38,100.9,49,0.09,157,2
Arizona,2016,1112,1985,2019,Y06,19,Arizona,P12,20.97,-0.038,272,6.66,63,107.9,67,101.3,54,-3.66,269,6
Arizona,2017,1112,1985,2019,X02,18,Arizona,P12,23.31,0.046,66,7.13,59,108.7,56,101.5,60,1.69,107,2
Arizona,2018,1112,1985,2019,Y04,28,Arizona,P12,17.7,0.036,88,5.96,68,108.5,65,102.5,73,2.51,86,4
Arizona St,2003,1113,1985,2019,Z10,30,Arizona St.,P10,16.49,-0.014,201,8.74,30,106.4,41,97.7,25,5.44,50,10
Arizona St,2009,1113,1985,2019,X06,15,Arizona St.,P10,23.03,-0.018,223,10.14,18,108.9,13,98.8,29,-2.04,207,6
