Season,DayNum,T1_TeamID,T1_Score,T2_TeamID,T2_Score,T1_FGMmean,T1_FGAmean,T1_FGM3mean,T1_FGA3mean,T1_ORmean,T1_Astmean,T1_TOmean,T1_Stlmean,T1_PFmean,T1_opponent_FGMmean,T1_opponent_FGAmean,T1_opponent_FGM3mean,T1_opponent_FGA3mean,T1_opponent_ORmean,T1_opponent_Astmean,T1_opponent_TOmean,T1_opponent_Stlmean,T1_opponent_Blkmean,T1_PointDiffmean,T2_FGMmean,T2_FGAmean,T2_FGM3mean,T2_FGA3mean,T2_ORmean,T2_Astmean,T2_TOmean,T2_Stlmean,T2_PFmean,T2_opponent_FGMmean,T2_opponent_FGAmean,T2_opponent_FGM3mean,T2_opponent_FGA3mean,T2_opponent_ORmean,T2_opponent_Astmean,T2_opponent_TOmean,T2_opponent_Stlmean,T2_opponent_Blkmean,T2_PointDiffmean,T1_win_ratio_14d,T2_win_ratio_14d,T1_seed,T2_seed,Seed_diff,Outcome
2003,136,1112,80,1436,51,30.32142857,65.71428571,7.035714286,20.07142857,15.17857143,17.64285714,14.78571429,8.464285714,17.75,26.35714286,64.67857143,6.321428571,19.96428571,13.10714286,15.46428571,16.85714286,5.964285714,2.392857143,14.96428571,24.82758621,55.86206897,5.275862069,15.48275862,12.96551724,14.20689655,14.06896552,6.862068966,15.89655172,22.75862069,55.06896552,7.068965517,21.44827586,9.586206897,13.27586207,13,7.103448276,3.655172414,4.655172414,0.666666667,1,1,16,-15,0
2003,136,1328,71,1354,54,25.26666667,56.53333333,7.466666667,18.96666667,12.13333333,14.16666667,11.8,6.933333333,18.6,21.6,53.36666667,4.433333333,13.56666667,10.4,10.46666667,13.7,5.166666667,2.666666667,11,24.8,54.36666667,5.166666667,15.46666667,12.96666667,10.26666667,19.46666667,8,20.73333333,24,57.93333333,7.166666667,21.2,14.23333333,12.06666667,17.4,9.7,3.166666667,1.533333333,0.8,1,1,16,-15,0
2003,137,1246,95,1237,64,28.46875,58.40625,5.90625,16.59375,12.875,16.1875,14.0625,7.8125,17.375,23,55.78125,5.78125,17.625,11.1875,10.75,16.46875,6.1875,3.53125,13.4375,24.4375,53.9375,6.5,18.59375,11.6875,13.375,15.90625,8.1875,19.34375,25.59375,53.6875,6.625,18.46875,10.5625,16.09375,16.84375,6.75,3.78125,0.84375,1,1,1,16,-15,0
2003,137,1400,82,1421,61,28,62.42857143,5.857142857,16.78571429,16.17857143,14.5,13.42857143,6.392857143,20.35714286,24.35714286,59.21428571,6.107142857,17.64285714,12.92857143,11.21428571,14.17857143,6.964285714,3.142857143,10.17857143,24.37931034,56.79310345,6.482758621,18,12.27586207,13.03448276,16.20689655,7.068965517,19.10344828,27.79310345,60.96551724,7.620689655,20.75862069,13.72413793,15.86206897,12.82758621,8.827586207,4.24137931,-7.24137931,0.666666667,1,1,16,-15,0
2004,136,1181,96,1106,61,27.5625,58.46875,7.1875,19.53125,13.40625,14.25,14.1875,9.34375,18.71875,23.625,58.1875,4.78125,14.625,14,12,17.71875,6.8125,3.5625,14.78125,20.56666667,48.73333333,5.533333333,16.56666667,11.7,10.26666667,17.2,7.066666667,18.7,21.16666667,51.96666667,5.733333333,16.3,11.33333333,11.63333333,15.33333333,8.033333333,3.066666667,0.833333333,0.6,1,1,16,-15,0
2004,136,1386,82,1251,63,27.17857143,56.78571429,9.75,23.96428571,9.678571429,16.53571429,11.71428571,9.142857143,17.03571429,22.10714286,56.17857143,4.428571429,16.17857143,13.64285714,11.64285714,16.57142857,6.714285714,2.392857143,16.28571429,24.70967742,57.83870968,6.032258065,19.83870968,13.22580645,13.77419355,15.80645161,8.774193548,19.41935484,24.64516129,57.48387097,5.322580645,16.48387097,12.32258065,13.19354839,15.35483871,8,3.451612903,1.741935484,0.5,1,1,16,-15,0
2004,136,1390,71,1427,45,26.53333333,54.8,5.2,14.2,11.1,16.36666667,13.96666667,6.366666667,17.26666667,21.33333333,54.63333333,6.2,18.33333333,10.4,10.2,14.7,6,2.066666667,13.23333333,24.28571429,56.5,7.035714286,19.5,12.35714286,12.60714286,17.10714286,6.892857143,19.82142857,25.53571429,60.46428571,7.178571429,21.21428571,13.07142857,13.32142857,15.39285714,7.75,2.607142857,-0.214285714,0.8,1,1,16,-15,0
2004,137,1246,96,1197,76,26.66666667,56.83333333,6.2,17.46666667,11.8,15.6,14.5,7.9,18.43333333,21.46666667,53.83333333,6.166666667,19.13333333,10.36666667,10.83333333,16,6.9,3.233333333,10.33333333,23.06666667,55.76666667,8.466666667,24.4,11.43333333,12.7,16.93333333,8.333333333,21.9,24.96666667,55.4,7.066666667,21.13333333,12.63333333,13.3,18.6,7.8,3.166666667,-1.866666667,1,0.6,1,16,-15,0
2005,136,1228,67,1192,55,28.15151515,57.60606061,8.696969697,21.78787879,10.96969697,18.57575758,11.12121212,7.636363636,15.51515152,21.93939394,53.3030303,5.96969697,16.45454545,10.27272727,12.3030303,15.3030303,4.727272727,2.363636364,17.3030303,27.06451613,59.93548387,6.677419355,19,12.4516129,15.03225806,13.90322581,7.129032258,18.96774194,25.67741935,56.32258065,5.806451613,15.77419355,11.12903226,13.93548387,15.35483871,6.193548387,2.516129032,3.258064516,0.8,0.75,1,16,-15,0
2005,136,1449,88,1285,77,31.51612903,65.09677419,7.451612903,19.09677419,15.06451613,19.35483871,14.61290323,8.35483871,20.67741935,25.87096774,57.51612903,5.580645161,16.96774194,12.16129032,14.70967742,18.22580645,6.967741935,2.870967742,12.80645161,23.42857143,51.25,5.821428571,16.75,10.28571429,13.78571429,17,5.892857143,17.10714286,25.14285714,59.21428571,6.642857143,20.21428571,11,13.96428571,13.75,8.535714286,3.392857143,0.25,0.8,1,1,16,-15,0
